X.objectid,hsisid,inspectdate,category,statecode,critical,questionno,violationcode,severity,shortdesc,inspectedby,comments,pointvalue,observationtype,violationtype,count,cdcriskfactor,cdcdataitem
2171,4092015006,2014-08-08T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",James Smith,7-102.11; Priority Foundation;  Two spray bottles inside and one container attached to a chemical dispenser outside not labeled.  Ensure that all containers of toxic materials are labeled with the common name of their contents.,1,Out,,,,
2172,4092110059,2014-08-22T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There was one water bottle that was not labeled. All spray bottles must be properly labeled. There was one spray bottle that was not labeled and had a cleaner in the bottle. All spray bottles must be labeled with the common name of the item in the spray bottle.,0,Out,CDI,,,
2173,4092015897,2014-08-25T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; The sanitizer buckets were not labeled. All working containers must be properly identified with the common name of the solution in the bucket. CDI.... All the sanitizer buckets were labeled.,1,Out,CDI,,,
2174,4092030260,2014-08-28T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Andrea Anover,7-102.11; Priority Foundation; 2 bottles of purple chemical not labeled this evening. Properly label all chemical bottles.,1,Out,CDI,,,
2175,4092016043,2014-09-05T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There was one sanitizer bucket that was not labeled. All sanitizer buckets must be labeled. CDI.... The sanitizer buckets were labeled.,0,Out,CDI,,,
2176,4092013966,2014-09-09T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found unlabeled bottle of sanitizer. Properly label this bottle to denote contents. CDI by labeling bottle.,0,Out,R,,,
2177,4092015549,2014-09-10T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found a few unlabeled containers of liquids (window cleaner and other cleaner). Properly label these containers to denote contents. CDI by labeling these containers.,0,Out,R,,,
2178,4092015842,2014-09-11T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found unlabeled bottle of sanitizer. Properly label this bottle to denote contents.,0,Out,R,,,
2179,4092016355,2014-09-18T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",James Smith,7-102.11; Priority Foundation;  One spray bottle not labeled.  Ensure that all containers of toxic materials are labeled with at least their common name.  CDI.,0,Out,CDI,,,
2180,4092021769,2014-09-22T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Andrea Anover,7-102.11; Priority Foundation; Label all chemicals and oils used in spray bottles.,0,Out,CDI,,,
2181,4092015942,2014-09-22T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",James Smith,7-102.11; Priority Foundation;  One spray bottle not labeled - CDI by labeling.  Please note that several others are labeled with labels that are close to being illegible.  Relabel spray bottles with damaged labels.,0,Out,,,,
2182,4092110020,2014-09-24T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There was one spray bottle that was not labeled. All spray bottles must be labeled with the common name of the item inside the spray bottle. CDI... The bottle was labeled.,0,Out,CDI,,,
2183,4092016492,2014-09-29T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",James Smith,"7-102.11; Priority Foundation;  Several spray bottles are not labeled or are labeled illegibly.   Label all containers of toxic materials, including sanitizers, with common name of the contents.",1,Out,CDI,,,
2184,4092015224,2014-09-30T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Anne Bartoli,7-102.11 . Spray bottles in the kitchen are not labeled. Label all spray bottles accurately. ,1,Out,,,,
,,,,,,,,,,,Working containers used for storing POISONOUS OR TOXIC MATERIALS such as cleaners and SANITIZERS taken from bulk supplies shall be clearly and individually identified with the common name of the material,,,,,,
2185,4092013979,2014-10-02T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There were some spray bottles that were not labeled. All spray bottles must be labeled with the common name of the item in the spray bottle. CDI..... The spray bottles were labeled.,1,Out,CDI,,,
2186,4092011369,2014-10-03T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found unlabeled spray bottle with clear liquid in it. Properly label bottle to denote contents. CDI by discarding liquid in bottle.,1,Out,CDI,,,
2187,4092016294,2015-08-20T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found several unlabeled spray bottles with different colored liquids. Properly label bottles to denote contents. CDI by labeling bottles.,1,Out,CDI,,,
2188,4092021396,2015-08-21T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found one unlabeled bottle of degreaser. All chemicals shall be properly labeled to denote contents. CDI by labeling degreaser.,0,Out,CDI,,,
2189,4092016767,2015-08-24T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",James Smith,7-102.11; Priority Foundation;  One properly stored spray bottle of orange cleaner not labeled.  Label with common name of contents.,0,Out,CDI,,,
2190,4092013024,2015-08-24T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Laura McNeill,"7-102.11; Priority Foundation; one chemical bottle not labeled. It was labeled during inspection. Once chemicals are removed from the original container, they shall be labeled with the chemical name.",1,Out,CDI,,,
2191,4092090014,2015-08-28T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Laura McNeill,"7-102.11; Priority Foundation; sanitizer bucket was not labeled. This was labeled during inspection. Once chemicals are removed from the original container, they shall be labeled. staff educated on this today as well.",0,Out,CDI,,,
2192,4092016005,2015-09-03T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Andrea Anover,7-102.11; Priority Foundation; 1 bottle labeled as sanitizer not sanitizer but an unidentified chemical. Chemical and bottled disposed of. Properly and accurately label all chemicals.,0,Out,CDI,,,
2193,4092013297,2015-09-04T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Andrea Anover,"7-102.11; Priority Foundation; 1 bottle of Pinesol labeled as ""cleaning"". Label the bottle with the chemical/product inside not the purpose of the bottle. Bottle labeled before REHS departed.",1,Out,CDI,,,
2194,4092015427,2015-09-04T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Dimitri Parker,7-102.11; Priority Foundation; Several chemical bottles near the dish washing area were lacking labels. Working containers used for storing POISONOUS OR TOXIC MATERIALS such as cleaners and SANITIZERS taken from bulk supplies shall be clearly and individually identified with the common name of the material. CDI-manager marked labels.,1,Out,CDI,,,
2195,4092011774,2015-09-08T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Laura McNeill,"7-102.11; Priority Foundation; one bottle of sanitizer was not labeled. This was labeled during inspection. Once chemicals are removed from the original containers, they shall be labeled.",0,Out,CDI,,,
2196,4092014657,2015-09-09T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Laura McNeill,"7-102.11; Priority Foundation; one bottle of sanitizer was labeled with the words bleach and sanitizer. The chemical is actually quat sanitizer. It was relabeled correctly. Once chemicals are removed from the original container, they must be labeled.",0,Out,CDI,,,
2197,4092090006,2015-09-10T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Laura McNeill,"7-102.11; Priority Foundation;  one chemical bottle not labeled and one bottle had a worn off label. These were labeled during inspection. Once chemicals are removed from the original containers, they need to be labeled.",0,Out,CDI,,,
2198,4092015712,2015-09-11T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There were several bottles that were not labeled. There was a sanitizer bucket that was not labeled. All working containers must be labeled with the common name of the item in the container. CDI.... The items were labeled.,1,Out,CDI,,,
2199,4092015712,2015-09-11T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There were several bottles that were not labeled. There was a sanitizer bucket that was not labeled. All working containers must be labeled with the common name of the item in the container. CDI.... The items were labeled.,1,Out,R,,,
2200,4092021682,2015-09-12T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found several bottles (in main kitchen and in one staging kitchen) with unknown liquids in them that were not properly labeled with contents. All containers of chemicals shall be properly labeled to denote contents. CDI by discarding contents of bottles.,1,Out,R,,,
2201,4092015082,2015-09-15T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Laura McNeill,7-102.11; Priority Foundation; one chemical bottle not labeled. This was labeled during inspection. Make sure chemical bottles are labeled.,0,Out,CDI,,,
2202,4092020121,2015-09-15T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found unlabeled bottle of glass cleaner. All chemicals shall be properly labeled to denote contents.,0,Out,CDI,,,
2203,4092300221,2015-09-18T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Caroline Suggs,7-102.11; Priority Foundation; Found a spray bottle containing a purple liquid that was not labeled. All chemical containers must be labeled with their contents.,0,Out,,,,
2204,4092040320,2014-10-10T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Christopher Walker,"7-102.11; Priority Foundation; The sanitizer, in the spray bottle, was not labeled.  Make sure that common bottles/containers are labeled with the chemical that is stored inside of it.  CDI-Education and labeled.",1,Out,CDI,,,
2205,4092015861,2014-10-14T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found one unlabeled spray bottle with green liquid in it. Properly label bottles of chemicals to denote contents. CDI by labeling bottle.,0,Out,CDI,,,
2206,4092016368,2014-10-17T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There were several sanitizer bottles that were not labeled. There were also other general cleaning bottles that were not labeled.  All spray bottles must be labeled with the common name of the item in the spray bottle. CDI... The spray bottles were labeled.,1,Out,CDI,,,
2207,4092300242,2014-10-23T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There was one spray bottle that was not labeled. All working containers must be properly labeled with the common name of the item in the spray bottle. CDI... The spray bottle was labeled.,0,Out,CDI,,,
2208,4092015200,2014-10-30T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There was a bottle of glass cleaner that was not labeled. There were several sanitizer buckets that were not labeled. All working containers must be labeled with the common name of the item in the container. CDI.... All the items were labeled.,1,Out,CDI,,,
2209,4092021046,2014-11-06T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Johanna Farmer,7-102.11; Priority Foundation; A few chemical bottles were not labeled with common name of the chemical. All toxic chemical bottles must be labeled with their common name. CDI-Labeled all containers.,1,Out,CDI,,,
2210,4092010775,2014-11-14T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found bottle of degreaser (according to person in charge or PIC) with a worn label on it. All bottles of chemicals shall be clearly labeled to denote contents. CDI by properly labeling bottle.,0,Out,CDI,,,
2211,4092010775,2014-11-14T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found bottle of degreaser (according to person in charge or PIC) with a worn label on it. All bottles of chemicals shall be clearly labeled to denote contents. CDI by properly labeling bottle.,0,Out,R,,,
2212,4092010989,2014-11-24T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found one unlabeled sanitizer spray bottle. Label all bottles of containers with sanitizers and other chemicals to denote contents. CDI by labeling bottle with contents.,0,Out,,,,
2213,4092015613,2014-12-02T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Andrea Anover,7-102.11; Priority Foundation; Unlabeled sprayer bottle inside cabinet at beverage station. All chemical bottles are to be labeled.,0,Out,CDI,,,
2214,4092016074,2014-12-11T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",James Smith,7-102.11; Priority Foundation;  Spray bottles of cleaning chemicals not labeled. Label with common name of contents.,1,Out,CDI,,,
2215,4092014651,2014-12-23T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",James Smith,"7-102.11; Priority Foundation;  Two spray bottles of cleaning chemicals not labeled.  Label all containers of toxic materials.  In addition, several spray bottles labeled ""cleaner"".  While this is not necessarily a violation, strongly recommend that a more specific term be used in labeling, such as ""window cleaner"", ""general purpose cleaner"", or the brand name.",1,Out,CDI,,,
2216,4092015833,2014-12-31T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Andrea Anover,7-102.11; Priority Foundation; Quat sanitizer in spray bottle well over 200ppm. Test strip turned blue. Sanitizer dumped and refilled.,1,Out,CDI,,,
2217,4092021626,2015-01-07T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",James Smith,7-102.11; Priority Foundation;  Chemical sprayer for attachment to hose not labeled and contains green cleaning chemical.  Label all containers of toxic materials with common name of contents.,1,Out,,,,
2218,4092016505,2015-01-07T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There was one spray bottle that was not labeled. All spray bottle s must be labeled with the common name of the item in the spray bottle. CDI... The spray bottle was labeled.,0,Out,CDI,,,
2219,4092015266,2015-01-09T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Christopher Walker,"7-102.11; Priority Foundation; There was a spray bottle, at the utensil washing sink, that was not labeled with the chemical that it contained.  All chemicals are to be labeled with a common name if stored inside of a bottle or bucket.  CDI-Bottle was labeled.",0,Out,CDI,,,
2220,4092014503,2014-10-14T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Johanna Farmer,7-102.11; Priority Foundation; 0 points; Sanitizer buckets were not labeled. Make sure to label all chemical containers. CDI-Labeled sanitizer bucket.,0,Out,CDI,,,
2221,4092015712,2014-10-16T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There were several Quat sanitizer bottles that were not labeled. There were several sanitizer buckets that were not labeled. All working containers must be properly labeled with the common name of the item in the container. CDI.... All spray bottles and sanitizer buckets were properly labeled.,1,Out,,,,
2222,4092021493,2014-10-17T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found unlabeled chemical bottle with liquid in it. Properly label these bottles or containers to denote contents. CDI by labeling chemical bottle.,0,Out,CDI,,,
2223,4092016502,2014-10-22T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found one unlabeled spray bottle with yellow liquid in it and another unlabeled jug with pink liquid in it. Properly label these containers to denote contents. CDI by properly labeling bottle and discarding jug with pink liquid.,1,Out,R,,,
2224,4092014873,2014-11-04T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,"7-102.11; Priority Foundation - Found a few unlabeled containers of chemicals and soap. Also observed an unlabeled spray bottle of water, according to PIC. All chemicals shall be properly labeled to denote contents. Also ensure bottles of water are labeled to prevent mistaking water as a chemical. CDI by labeling these items.",1,Out,CDI,,,
2225,4092013750,2014-11-04T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; There were several spray bottles that were not labeled. All spray bottles must be labeled with the common name of the item in bottle. CDI..... The spray bottles were labeled.,1,Out,CDI,,,
2226,4092016681,2014-11-04T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Thomas Jumalon,7-102.11; Priority Foundation;  LABELING BOTTLES,0,Out,,,,
2227,4092011181,2014-11-07T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Angela Myers,7-102.11; Priority Foundation; Spray Bottles contain solutions (like Orange Force) that may not be properly labeled.,0,Out,CDI,,,
2228,4092014184,2014-11-19T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; The sanitizer buckets were not labeled. Label all working containers with the common name of the items in the containers. CDI... The sanitizer buckets were labeled.,0,Out,CDI,,,
